日期,新冠肺炎,新型冠状病毒,北京肺炎,北京疫情,肺炎疫情
2020/1/23,11227,1374253,11421,,25086
2020/1/24,7294,1469947,10766,5150,33888
2020/1/25,5352,2330851,17265,11872,60382
2020/1/26,5467,2150021,14030,13120,65979
2020/1/27,5389,1816430,10859,11334,59671
2020/1/28,5644,2227942,9309,10566,69927
2020/1/29,5984,1503255,9122,11770,67584
2020/1/30,6282,1372206,7100,10593,67712
2020/1/31,7546,1390560,6384,10535,65496
2020/2/1,7798,1334127,5672,10346,57026
2020/2/2,8195,1374154,5306,10424,54298
2020/2/3,8404,1277132,5680,12458,50223
2020/2/4,8770,1244048,4808,11426,43250
2020/2/5,10664,1209808,3729,10808,39033
2020/2/6,20204,1743197,3496,11102,33047
2020/2/7,28879,1643941,4010,14128,31646
2020/2/8,30861,1185978,4136,14466,29265
2020/2/9,29385,1142892,3762,13665,27353
2020/2/10,29837,1158302,3840,14820,25787
2020/2/11,41945,1061433,3788,14886,24525
2020/2/12,38311,1050392,3222,13554,24002
2020/2/13,32271,1277024,3302,13957,32608
2020/2/14,33382,1069203,3123,13530,28248
2020/2/15,38519,948165,3124,13114,23504
2020/2/16,37204,904431,2493,11142,21803
2020/2/17,35287,920373,2177,10409,20656
2020/2/18,37794,840490,2659,12705,18824
2020/2/19,38750,784784,2485,12947,17472
2020/2/20,35242,800960,2228,13860,18801
2020/2/21,37165,776563,2586,17955,18574
2020/2/22,45831,636594,2248,13264,16236
2020/2/23,43238,622095,1762,10027,15523
2020/2/24,44683,634391,1717,10413,17591
2020/2/25,43938,550484,2063,11890,15104
2020/2/26,44978,482726,1590,9760,15998
2020/2/27,44591,478822,3733,22499,15668
2020/2/28,43005,486394,2189,13936,15108
2020/2/29,48731,496289,2224,12904,15451
2020/3/1,46304,482280,2167,13282,15086
2020/3/2,47262,441914,1837,12062,15948
2020/3/3,42505,393118,1363,9439,15287
2020/3/4,43621,441921,2270,13958,16587
2020/3/5,36946,414142,1286,9340,14567
2020/3/6,38228,376106,1307,9802,13849
2020/3/7,47675,369780,1320,9152,12264
2020/3/8,46270,368916,1138,8010,11570
2020/3/9,41285,359426,1108,8032,12746
2020/3/10,38898,335711,1093,7496,13102
2020/3/11,38633,337491,1181,9389,12927
2020/3/12,34831,353167,1085,7789,13229
2020/3/13,34073,353857,1108,7567,14580
2020/3/14,38298,332215,1073,7530,13058
2020/3/15,34808,364033,1139,8399,12926
2020/3/16,34959,324566,1165,8640,13920
2020/3/17,34055,300185,1144,8561,13062
2020/3/18,36584,295536,1130,8297,12730
2020/3/19,36188,282990,1129,9446,12782
2020/3/20,33606,300183,1049,7716,13378
